,amount,name,notes,recipe,units
22,,salt,as required,awadhi biryani ,
23,['1'],pinch of saffron strands,(kesar),awadhi biryani ,
24,['⅓'],warm milk,,awadhi biryani ,cup
25,['½ to 1'],ghee,,awadhi biryani ,tablespoon
26,['2'],kewra water,or rose water or meetha ittar,awadhi biryani ,teaspoons
27,['⅓'],of the stock in which the rice was cooked,,awadhi biryani ,cup
28,['½'],thinly sliced onions,,awadhi biryani ,cup
29,['1'],ghee,,awadhi biryani ,tablespoon
0,['4'],medium sized beetroots,or about 3 cups of grated beetroot,beetroot halwa ,
1,['1.5'],grated or crumbled mawa,(khoya or evaporated milk solids),beetroot halwa ,cups
2,['1.5'],full fat milk,,beetroot halwa ,cups
3,['4 to 5'],sugar,or add as required,beetroot halwa ,tablespoons
4,['⅓'],cardamom powder,(elaichi powder),beetroot halwa ,teaspoon
5,['3'],ghee,(clarified butter),beetroot halwa ,tablespoons
6,['10 to 12'],"almonds,","chopped, optional",beetroot halwa ,
7,['10 to 12'],"pistachios,","chopped, optional",beetroot halwa ,
8,['10 to 12'],"cashews,","whole or chopped, optional",beetroot halwa ,
9,['20'],golden raisins,"(kishmish), optional",beetroot halwa ,
0,['2'],whole mung beans,,"How to Sprout Mung Beans or Moong, Sprouting Mung Beans at Home",cups
1,,water,as required,"How to Sprout Mung Beans or Moong, Sprouting Mung Beans at Home",
0,['2'],puffed rice,,bhel puri ,cups
1,['2'],mint coriander chutney,,bhel puri ,tablespoon
2,['2'],tamarind dates chutney,,bhel puri ,tablespoon
3,['1'],red chili chutney,(optional),bhel puri ,teaspoon
4,['1'],large boiled potato,- peeled and chopped,bhel puri ,
5,['½ to ¾'],boiled moong beans,OR steamed moong sprouts,bhel puri ,cup
6,['1'],medium size tomato,- finely chopped,bhel puri ,
7,['1'],small onion,- finely chopped,bhel puri ,
8,['1'],roasted cumin powder,(bhuna jeera powder),bhel puri ,teaspoon
9,['1'],chaat masala,,bhel puri ,teaspoon
10,['½'],red chili powder,(lal mirch powder),bhel puri ,teaspoon
11,['¼'],chopped coriander leaves,(dhania patta),bhel puri ,cup
12,['¼ or ½'],sev,,bhel puri ,cup
13,['5 to 6'],papdis,- broken into pieces,bhel puri ,
14,['2'],roasted peanuts,(bhuni moongphali),bhel puri ,tablespoon
15,['1'],lemon juice,,bhel puri ,teaspoon
16,,black salt as required,,bhel puri ,
0,['2 '],chana dal,(bengal gram),snake gourd bhaji ,tablespoons 
1,['⅓'],hot boiling water,,snake gourd bhaji ,cup 
2,['2 '],chopped snake gourd ,(padwal or chichinda),snake gourd bhaji ,cups 
3,['1.5 '],oil,- peanut oil or sunflower oil can be used,snake gourd bhaji ,tablespoons 
4,['½'],mustard seeds,(rai),snake gourd bhaji ,teaspoon 
5,['½ '],cumin seeds,(jeera),snake gourd bhaji ,teaspoon 
6,['7 to 8 '],curry leaves,- whole or chopped,snake gourd bhaji ,
7,['1 '],green chili,- chopped,snake gourd bhaji ,
8,['¼ '],turmeric powder,(haldi),snake gourd bhaji ,teaspoon 
9,['1 '],asafoetida,(hing),snake gourd bhaji ,pinch 
10,,salt ,as required,snake gourd bhaji ,
11,['1 '],water,or add as required,snake gourd bhaji ,cup 
12,['3 '],fresh grated coconut,- can also use desiccated coconut,snake gourd bhaji ,tablespoons 
13,['2 '],chopped coriander leaves,,snake gourd bhaji ,tablespoons 
0,['1'],"medium sized cucumber,",or 1 cup finely chopped cucumber,"cucumber raita , how to make cucumber raita ",
1,['1'],fresh curd,(dahi or yogurt),"cucumber raita , how to make cucumber raita ",cup
2,['½'],red chili powder/lal mirch powder,(optional),"cucumber raita , how to make cucumber raita ",teaspoon
3,['1'],roasted cumin powder/bhuna jeera powder,,"cucumber raita , how to make cucumber raita ",teaspoon
4,['½'],chaat masala powder,,"cucumber raita , how to make cucumber raita ",teaspoon
5,,"salt as required,","can use rock salt, black salt or regular salt","cucumber raita , how to make cucumber raita ",
6,['1'],chopped coriander leaves,or ½ tablespoon chopped mint leaves,"cucumber raita , how to make cucumber raita ",tablespoon
0,['5 to 6'],of brown bread,or multi grain bread or white bread,bread rolls ,slices
1,['2'],medium sized potatoes,(aloo),bread rolls ,
2,['½'],dry pomegranate seeds,(anardana) OR ½ teaspoon dry mango powder (amchur powder),bread rolls ,teaspoon
3,['½'],crushed black pepper,OR ¼ teaspoon black pepper powder (kali mirch powder),bread rolls ,teaspoon
4,['¼'],red chilli powder,(lal mirch powder),bread rolls ,teaspoon
5,['1'],green chilli,- chopped (hari mirch),bread rolls ,
6,['¼'],garam masala powder,,bread rolls ,teaspoon
7,['¼'],cumin powder,(jeera powder),bread rolls ,teaspoon
8,['½'],chaat masala,,bread rolls ,teaspoon
9,['2 to 3'],chopped coriander leaves,(dhania patta),bread rolls ,teaspoon
10,,salt as required,,bread rolls ,
0,['½ '],coriander leaves,(dhania patta),hariyali paneer tikka ,cup 
1,['¼'],mint leaves,(pudina patta),hariyali paneer tikka ,cup 
2,['1 '],chopped ginger ,(adrak) OR 1 inch ginger,hariyali paneer tikka ,teaspoon
3,['1 '],chopped garlic ,OR 4 medium garlic cloves (lahsun),hariyali paneer tikka ,teaspoon 
4,['1 '],chopped green chili ,"or 1 green chili, chopped",hariyali paneer tikka ,teaspoon 
5,['3 '],fresh curd,(yogurt or dahi),hariyali paneer tikka ,tablespoons
6,['200 '],paneer,(cottage cheese),hariyali paneer tikka ,grams 
7,['¼ '],carom seeds,(ajwain),hariyali paneer tikka ,teaspoon
8,['⅛'],turmeric powder ,OR 1 to 2 pinches turmeric powder,hariyali paneer tikka ,teaspoon 
9,['¼ '],red chilli powder,(lal mirch powder),hariyali paneer tikka ,teaspoon 
10,['¼ '],cumin powder,(jeera powder),hariyali paneer tikka ,teaspoon
11,['¼ '],coriander powder,(dhania powder),hariyali paneer tikka ,teaspoon 
12,['¼ '],garam masala powder,,hariyali paneer tikka ,teaspoon 
13,['¼ '],dry mango powder,(amchur powder),hariyali paneer tikka ,teaspoon 
14,['¼ '],chaat masala powder,,hariyali paneer tikka ,teaspoon 
15,['1 '],rice flour ,OR besan (gram flour) OR corn flour,hariyali paneer tikka ,tablespoon 
16,['¼ '],black salt,,hariyali paneer tikka ,teaspoon 
17,['¼ '],regular salt ,or add as required,hariyali paneer tikka ,teaspoon 
18,['1 '],lemon juice,,hariyali paneer tikka ,teaspoon 
19,['2 to 3'], oil,- optional,hariyali paneer tikka ,teaspoons 
20,['1'],"medium onion,",thinly sliced,hariyali paneer tikka ,
21,['1'],"lime or lemon,",quartered,hariyali paneer tikka ,
22,,"chaat masala to sprinkle, ",as required,hariyali paneer tikka ,
0,['200'],hakka noodles,- 1 pack of hakka noodles,veg hakka noodles ,grams
1,['3 to 4'],"small to medium spring onions,","finely chopped, reserve a few greens for garnish",veg hakka noodles ,
2,['1'],"small to medium carrot,",finely chopped or julienned,veg hakka noodles ,
3,['8 to 10'],"french beans,",finely chopped,veg hakka noodles ,
4,['4 to 5'],button mushrooms,finely chopped * check notes,veg hakka noodles ,
5,['1'],small to medium bell pepper,"- red green or yellow, finely chopped or julienned",veg hakka noodles ,
6,['1.5'],finely chopped garlic,,veg hakka noodles ,teaspoons
7,['2 to 3'],dry red chilies (broken and deseeded) or fresh green chilies,(chopped),veg hakka noodles ,
8,['1'],finely chopped celery,,veg hakka noodles ,teaspoon
9,['¼'],rice vinegar,or white vinegar or rice wine,veg hakka noodles ,teaspoon
10,['½'],naturally fermented soy sauce or regular soy sauce,or add as required,veg hakka noodles ,tablespoon
11,['½'],oil,for coating the noodles,veg hakka noodles ,tablespoon
12,['2'],oil,for stir frying,veg hakka noodles ,tablespoons
13,,salt and pepper,as required,veg hakka noodles ,
14,,enough water,to cook the noodles,veg hakka noodles ,
0,['250'],palak,or 8 to 9 oz spinach (palak),palak paneer ,grams
1,['3'],hot boiling water,for blanching spinach,palak paneer ,cups
2,['2'],water,for ice bath,palak paneer ,cups
3,['250'],paneer,or 8 to 9 oz cottage cheese (paneer),palak paneer ,grams
4,['3'],oil,,palak paneer ,tablespoon
5,['½'],cumin seeds,(jeera),palak paneer ,teaspoon
6,['2'],small tej patta,or 1 medium to large tej patta (indian bay leaf),palak paneer ,
7,['1'],medium onion,or 60 to 70 grams onions or 1/3 cup tightly packed finely chopped onion,palak paneer ,
8,['1'],ginger paste,+ 1 teaspoon garlic paste OR 2 teaspoon ginger-garlic paste (adrak lahsun ka paste) OR (½ inch ginger + 6 to 7 small to medium garlic - crushed to a paste in mortar-pestle),palak paneer ,teaspoon
9,['1 or 2'],"green chilies,",chopped or 1 to 1.5 teaspoon finely chopped green chilies (add ½ teaspoon red chili powder instead of green chilies),palak paneer ,
10,['1'],turmeric powder,(haldi),palak paneer ,pinch
11,['½'],black pepper,- crushed in a mortar-pestle (optional),palak paneer ,teaspoon
12,['1'],kasuri methi,(dry fenugreek leaves) - for more hints of bitterness you can add overall 2 teaspoon kasuri methi,palak paneer ,teaspoon
13,['½'],garam masala powder,,palak paneer ,teaspoon
14,['¼'],low fat cream,or 3 tablespoon whipping cream,palak paneer ,cup
15,,a pinch of sugar,,palak paneer ,
16,,salt as required,,palak paneer ,
0,['1.5'],kaima rice,(seeraga samba rice) or basmati rice OR 300 grams,nei choru ,cups
1,['4'],ghee,,nei choru ,tablespoons
2,['12 to 15'],cashews,(kaju),nei choru ,
3,['1'],raisins,(kishmish),nei choru ,tablespoon
4,['1'],thinly sliced onions,,nei choru ,cup
5,['1'],tej patta,(indian bay leaf),nei choru ,
6,['1'],cinnamon,(dalchini),nei choru ,inch
7,['3'],cloves,(lavang),nei choru ,
8,['3'],green cardamoms,(hari elaichi),nei choru ,
9,['3'],water,,nei choru ,cups
10,,salt as required,,nei choru ,
11,,some coriander leaves for garnishing,,nei choru ,
0,['12-15'],fresh figs,,fig jam ,
1,['¼'],organic powdered jaggery,or sugar (add more if required. also depends on the sweetness of the figs),fig jam ,cup
2,['2 to 3'],pinch of cinnamon powder,(dalchini powder),fig jam ,
3,['1'],lemon juice,,fig jam ,teaspoon
4,['1'],water,,fig jam ,cup
0,['½'],yellow moong dal,(mung dal),goan dal ,cup
1,['2 to 2.5'],water,,goan dal ,cups
2,['¼'],turmeric powder,(haldi),goan dal ,teaspoon
3,['2 to 3'],kokum,or 1 medium size tomato,goan dal ,pieces
4,,salt to taste,,goan dal ,
5,['½'],fresh grated coconut,or dessicated coconut flakes,goan dal ,cup
6,['1'],small onion,or 2 to 3 shallots,goan dal ,
7,['1'],cumin seeds,(jeera),goan dal ,tablespoon
8,['3 to 4'],garlic cloves,"(lahsun), optional",goan dal ,
9,['1'],mustard seeds,(rai),goan dal ,teaspoon
10,['1'],cumin seeds,(jeera),goan dal ,teaspoon
11,['1'],sprig of curry leaves,(kadi patta),goan dal ,
12,['4 to 5'],garlic cloves,"(lahsun), crushed lightly",goan dal ,
13,['1 or 2'],"green chilies,",(dry red chilies can also be used instead of green chilies) - optional,goan dal ,
14,['1 to 2'],asafoetida,(hing),goan dal ,pinch
15,['2'],coconut oil,or ghee or any good vegetable oil,goan dal ,tablespoons
16,,a few coriander leaves,"(dhania patta), chopped",goan dal ,
0,['1'],kidney beans,(rajma),rajma sundal ,cup
1,,enough water ,for soaking rajma overnight,rajma sundal ,
2,['1'],salt,,rajma sundal ,teaspoon
3,['4'],water,for pressure cooking rajma ,rajma sundal ,cups
4,['1 to 2'],sesame oil,,rajma sundal ,tablespoon
5,['1'],mustard seeds,(rai),rajma sundal ,teaspoon
6,['1'],urad dal,(split black gram),rajma sundal ,teaspoon
7,['12 to 15'],curry leaves,(kadi patta),rajma sundal ,
8,['2'],dry red chilies,(sookhi lal mirch),rajma sundal ,
9,['1'],asafoetida,(hing),rajma sundal ,pinch
10,,salt as required,,rajma sundal ,
11,['2 to 3'],fresh grated coconut,,rajma sundal ,tablespoon
0,['400'],parboiled rice,or idli rice or 2 cups parboiled or idli rice,uttapam ,grams
1,['2'],water,for soaking rice,uttapam ,cups
2,['120'],whole husked urad dal,or ½ cup whole husked urad dal,uttapam ,grams
3,['1'],water for soaking urad dal,,uttapam ,cup
4,['¼'],fenugreek seeds,(methi seeds),uttapam ,teaspoon
5,['½'],water,for grinding urad dal or add as required,uttapam ,cup
6,['¾'],water,for grinding rice or add as required,uttapam ,cup
7,['1'],rock salt,or add as required,uttapam ,teaspoon
0,['½'],whole coriander seeds,(sabut dhania),garam masala ,cup
1,['¼'],whole cumin seeds,(sabut jeera),garam masala ,cup
2,['9'],cinnamon sticks,"(dalchini), each having an approx size of about 2.5 to 3 inches",garam masala ,pieces
3,['2'],cloves,"(lavang, laung)",garam masala ,tablespoons
4,['10'],tejpatta leaves,,garam masala ,
5,['10'],black cardamoms,(badi elaichi),garam masala ,
6,['2'],small cardamoms,(choti elaichi),garam masala ,tablespoons
7,['1.5'],whole black pepper,(sabut kalimirch),garam masala ,tablespoons
8,['1'],whole dry ginger,of 1 inch (saunth),garam masala ,piece
9,['1'],nutmeg,(jaiphal),garam masala ,
0,['1'],regular rice + 1 cup parboiled rice,OR 2 cups idli rice OR 2 cups parboiled rice,idli ,cup
1,['½'],whole or split urad dal,OR 120 grams whole or split urad dal (husked black gram),idli ,cup
2,['¼'],thick poha,OR 20 grams thick poha (flattened rice),idli ,cup
3,['¼'],fenugreek seeds,(methi seeds),idli ,teaspoon
4,['2'],water for soaking rice,,idli ,cups
5,['1'],water for soaking urad dal,,idli ,cup
6,['½'],water for grinding urad dal or add as required,,idli ,cup
7,['¾'],water for grinding rice or add as required,,idli ,cup
8,['1'],rock salt (sendha namak) or sea salt,,idli ,teaspoon
9,,oil as required to apply to the idli moulds,,idli ,
10,['2.5'],water for steaming idlis,,idli ,cups
0,['200 to 250'],paneer,(cottage cheese),paneer jalfrezi ,grams
1,['1'],small to medium carrot,OR 50 grams carrot,paneer jalfrezi ,
2,['9 to 10'],baby corn,OR 50 grams baby corn,paneer jalfrezi ,
3,['1'],medium to large capsicum,OR 80 to 100 grams capsicum (green bell pepper or shimla mirch),paneer jalfrezi ,
4,['1'],large onion,OR 100 grams onions,paneer jalfrezi ,
5,['1'],medium to large tomato,OR 80 to 100 grams tomatoes - OR about 4 to 5 tablespoon tomato puree,paneer jalfrezi ,
6,['1'],ginger,- crushed to a paste in a mortar-pestle or minced OR 1.5 teaspoon ginger paste,paneer jalfrezi ,inch
7,['1'],cumin powder,(jeera powder),paneer jalfrezi ,teaspoon
8,['¼'],black pepper powder,(kali mirch powder),paneer jalfrezi ,teaspoon
9,['2'],dry red chilies,(sookhi lal mirch),paneer jalfrezi ,
10,['½'],white vinegar,or apple cider - you can also add more or less depending on your taste,paneer jalfrezi ,teaspoon
11,['½'],sugar or as required,,paneer jalfrezi ,teaspoon
12,,salt as required,,paneer jalfrezi ,
13,['½ to 1'],chopped coriander leaves or parsley leaves for garnish,,paneer jalfrezi ,tablespoon
14,['2'],oil,,paneer jalfrezi ,tablespoon
0,['2'],"large raw unripe green mangoes,",400 grams mangoes or 250 grams grated or shredded mangoes or 1.25 cups tightly packed grated mangoes,aam ka murabba ,
1,['1.5'],organic unrefined cane sugar,or 300 to 350 grams sugar - add as required,aam ka murabba ,cups
2,['4 to 5'],green cardamoms (hari eliachi) and 1 to 2 cloves (lavang),- crushed finely in a mortar-pestle,aam ka murabba ,
3,,a few strands of saffron (kesar),- crushed,aam ka murabba ,
0,['1'],medium sized banana,(kela),mangalore buns ,
1,['2-3'],sugar,(i added 3 tablespoon organic cane sugar),mangalore buns ,tablespoon
2,['½ to ¾'],cumin powder,(jeera powder),mangalore buns ,teaspoon
3,['1'],salt,(optional),mangalore buns ,pinch
4,['2'],baking soda,or ⅛ teaspoon of baking soda,mangalore buns ,pinch
5,['1 to 2'],yogurt,(curd or dahi),mangalore buns ,tablespoon
6,['1.5'],whole wheat flour,(atta) or all purpose flour (maida) or use half/half of both,mangalore buns ,cups
7,['½ to 1'],ghee,,mangalore buns ,teaspoon
8,,oil for deep frying,,mangalore buns ,
0,['3'],all purpose flour,(maida),white bread ,cups
1,['1'],"water,",250 ml,white bread ,cup
2,['½'],dry active yeast,,white bread ,tablespoon
3,['2'],sugar,,white bread ,tablespoons
4,['1.5'],"vegetable oil,","i used olive oil, but you can add sunflower oil or even melted butter",white bread ,tablespoon
5,['1'],salt,,white bread ,teaspoon
6,['¼'],warm water,,white bread ,cup
7,['¾'],milk,,white bread ,cup
0,['2'],of sprouted moong beans,,moong sprouts salad ,cups
1,['1'],"small or medium sized onion,",finely chopped,moong sprouts salad ,
2,['1'],"medium size tomato,",finely chopped,moong sprouts salad ,
3,['1'],green chilli,"(hari mirch) - finely chopped, optional",moong sprouts salad ,
4,['¼'],red chilli powder,(lal mirch powder),moong sprouts salad ,teaspoon
5,['½ or 1'],chaat masala,(optional),moong sprouts salad ,teaspoon
6,['1'],lemon juice,or as required,moong sprouts salad ,teaspoon
7,['1'],boiled potato,or boiled sweet potato (shakarkandi) - optional - finely chopped,moong sprouts salad ,
8,,few coriander leaves for garnishing,,moong sprouts salad ,
9,,lemon slices for garnishing,,moong sprouts salad ,
10,,rock salt or black salt as required,,moong sprouts salad ,
0,['3'],whole wheat flour,(atta),chana dal paratha ,cups
1,['1'],water,or more if required,chana dal paratha ,cup
2,['1 to 2'],ghee,or oil (optional),chana dal paratha ,teaspoon
3,,salt as required,(optional),chana dal paratha ,
4,['1'],bengal gram,(chana dal) - soaked overnight,chana dal paratha ,cup
5,['2'],water,,chana dal paratha ,cups
6,['1'],"small to medium sized onion,",finely chopped,chana dal paratha ,
7,['1 to 2'],green chillies,"(hari mirch), chopped",chana dal paratha ,
8,['½'],carom seeds,(ajwain) or a generous pinch of asafoetida (hing),chana dal paratha ,teaspoon
9,['¼'],garam masala powder,,chana dal paratha ,teaspoon
10,['½ to ¾'],dry mango powder,(amchur) or as required,chana dal paratha ,teaspoon
11,['1 to 2'],"coriander leaves,",chopped (optional),chana dal paratha ,teaspoon
12,,ghee or oil for frying the parathas,as required,chana dal paratha ,
0,['1.5'],grated carrots,OR 2 medium sized carrots (gajar),carrot paratha ,cups
1,['1.5'],whole wheat flour,(atta),carrot paratha ,cups
2,['⅓'],chopped coriander leaves,(dhania patta),carrot paratha ,cup
3,['⅓'],finely chopped onion,(pyaz),carrot paratha ,cup
4,['1'],finely chopped ginger,(adrak),carrot paratha ,teaspoon
5,['12 to 15'],curry leaves,(kadi patta),carrot paratha ,
6,['1'],"green chili,",finely chopped,carrot paratha ,
7,['1'],ghee,or butter or oil,carrot paratha ,tablespoon
8,['¼'],salt,or add as required,carrot paratha ,teaspoon
9,['¼'],water,or add as required,carrot paratha ,cup
10,,ghee,or butter or oil - add as required for roasting parathas,carrot paratha ,
0,['1'],curry leaves,(kadi patta),curry leaves chutney ,cup
1,['1'],urad dal,(husked black gram),curry leaves chutney ,teaspoon
2,['1'],mustard seeds,(rai or sarson),curry leaves chutney ,teaspoon
3,['½'],cumin seeds,(jeera),curry leaves chutney ,teaspoon
4,['½'],ginger,(adrak),curry leaves chutney ,inch
5,['1 or 2'],"green chilies,",chopped (hari mirch),curry leaves chutney ,
6,['½'],grated coconut,,curry leaves chutney ,cup
7,['1'],roasted chana dal,(roasted bengal gram) - optional,curry leaves chutney ,tablespoon
8,['1'],asafoetida,(hing),curry leaves chutney ,pinch
9,['2'],oil,,curry leaves chutney ,tablespoons
10,,salt as required,,curry leaves chutney ,
0,['2.25'],organic all purpose flour,(maida),brown bread ,cups
1,['¾'],organic whole wheat flour,(atta),brown bread ,cup
2,['1'],water,,brown bread ,cup
3,['½'],dry active yeast,OR 1 teaspoon instant yeast,brown bread ,tablespoon
4,['2'],organic cold pressed sunflower oil,OR melted butter,brown bread ,tablespoon
5,['1'],regular sugar,or unrefined organic cane sugar,brown bread ,tablespoon
6,['1'],rock salt,or regular salt,brown bread ,teaspoon
0,['¾ to 1'],grated lauki,(dudhi or opo squash),lauki thepla ,cup
1,['1.5'],whole wheat flour,(atta),lauki thepla ,cups
2,['3'],besan,(gram flour),lauki thepla ,tablespoon
3,['2'],curd,"(dahi or yogurt) - add 1 or 2 tablespoon more, if required while kneading",lauki thepla ,tablespoon
4,['1'],green chili + ½ inch ginger,- crushed to a paste in mortar pestle or 1 teaspoon ginger-green chili paste,lauki thepla ,
5,['½'],coriander powder,(dhania powder),lauki thepla ,teaspoon
6,['½'],cumin powder,(jeera),lauki thepla ,teaspoon
7,['½'],red chili powder,(lal mirch powder),lauki thepla ,teaspoon
8,['¼'],turmeric powder,(haldi),lauki thepla ,teaspoon
9,['1'],oil,,lauki thepla ,tablespoon
10,['¾'],salt,or add as required,lauki thepla ,teaspoon
11,,oil for roasting,as required,lauki thepla ,
0,['150'],"noodles, ",hakka noodles or instant noodles or whole wheat noodles,veg american chopsuey ,grams
1,['4'],water,,veg american chopsuey ,cups 
2,['½'],salt,or add as required,veg american chopsuey ,teaspoon 
3,['2.5'],corn flour ,(corn starch),veg american chopsuey ,tablespoons
4,,oil,as required for deep frying,veg american chopsuey ,
5,['½'],shredded cabbage,,veg american chopsuey ,cup
6,['½'],shredded carrot,,veg american chopsuey ,cup
7,['⅓'],thinly sliced capsicum,,veg american chopsuey ,cup
8,['¼'],chopped spring onions,or ¼ cup chopped onions,veg american chopsuey ,cup
9,['½'],finely chopped ginger,,veg american chopsuey ,teaspoon
10,['½'],finely chopped garlic,,veg american chopsuey ,teaspoon
11,['3'],tomato ketchup,,veg american chopsuey ,tablespoons
12,['1'],"soy sauce,",naturally fermented or naturally brewed,veg american chopsuey ,tablespoon
13,['½'],sweet red chilli sauce,or sriracha sauce,veg american chopsuey ,tablespoon
14,['1'],sesame oil,or peanut oil or sunflower oil,veg american chopsuey ,tablespoon
15,['1.5 to 1.75'],water,,veg american chopsuey ,cups
16,['½ to 1'],sugar,or add as per taste,veg american chopsuey ,teaspoon 
17,['¼ '],black pepper powder,,veg american chopsuey ,teaspoon 
18,,salt ,as required,veg american chopsuey ,
19,['2'],chopped spring onion greens,or 2 tablespoons chopped coriander leaves,veg american chopsuey ,tablespoons
20,['2'],corn flour,(corn starch),veg american chopsuey ,tablespoons
21,['2'],water,,veg american chopsuey ,tablespoons
22,['1'],chopped spring onion greens,or 1 tablespoon chopped coriander leaves,veg american chopsuey ,tablespoon
0,['1'],whole wheat flour,(atta) or 120 grams whole wheat flour,eggless coconut cookies ,cup
1,['¼'],desiccated coconut,,eggless coconut cookies ,cup
2,['¼'],baking soda,or baking powder,eggless coconut cookies ,teaspoon
3,['4'],"coconut oil,",you can also use 3 tablespoon coconut oil,eggless coconut cookies ,tablespoon
4,['1'],fine sooji,(rava or cream of wheat) - optional,eggless coconut cookies ,tablespoon
5,['½'],cardamom powder,or 4 to 5 green cardamoms (choti elaichi) - crushed in mortar-pestle,eggless coconut cookies ,teaspoon
6,['¼'],dry ginger powder,(saunth) - optional,eggless coconut cookies ,teaspoon
7,['½'],organic powdered or grated jaggery,(gur) or 85 grams jaggery,eggless coconut cookies ,cup
8,['2 to 3'],water,or coconut milk - add as required,eggless coconut cookies ,tablespoon
0,['1'],basmati rice,or long grained rice,tawa pulao ,cup
1,['4'],of water,for cooking the rice,tawa pulao ,cups
2,['2 to 3'],drops of oil,,tawa pulao ,
3,,salt as required,,tawa pulao ,
4,['1'],medium capsicum,(green bell pepper or shimla mirch) - chopped,tawa pulao ,
5,['2'],large tomatoes,Or 150 grams tomatoes - chopped,tawa pulao ,
6,['1'],medium onion,Or 50 grams onions- chopped,tawa pulao ,
7,['½'],ginger (adrak) + 2-3 garlic (lahsun),- made into a paste in a mortar-pestle Or 1 teaspoon ginger garlic paste,tawa pulao ,inch
8,['¼'],red chili powder,(lal mirch powder) or add as required,tawa pulao ,teaspoon
9,['¼'],turmeric powder,(haldi),tawa pulao ,teaspoon
10,['2'],pav bhaji masala,or add as required,tawa pulao ,teaspoon
11,['½'],cumin seeds,(jeera),tawa pulao ,teaspoon
12,['2'],butter,or oil or half-half of both,tawa pulao ,tablespoon
13,['1'],small to medium carrot,(gajar) - chopped,tawa pulao ,
14,['1'],medium potato,(aloo) - chopped,tawa pulao ,
15,['½'],green peas,(matar) - fresh or frozen,tawa pulao ,cup
16,['½'],lemon juice,or as required,tawa pulao ,teaspoon
17,,a few chopped coriander leaves,(dhania patta) or parsley leaves,tawa pulao ,
18,,salt as required,,tawa pulao ,
0,['200'],"paneer,",crumbled (cottage cheese),paneer bhurji ,grams
1,['1'],medium sized onion,(pyaaz) finely chopped,paneer bhurji ,
2,['2'],medium sized tomatoes,(tamatar) finely chopped,paneer bhurji ,
3,['1 or 2'],green chillies,(hari mirch) finely chopped,paneer bhurji ,
4,['3 to 4'],small garlic cloves + ½ inch ginger,made to a paste in mortar-pestle or 1 teaspoon ginger-garlic paste,paneer bhurji ,
5,['¼'],turmeric powder,(haldi),paneer bhurji ,teaspoon
6,['½'],red chilli powder,(lal mirch powder),paneer bhurji ,teaspoon
7,['¼'],garam masala powder,,paneer bhurji ,teaspoon
8,['½'],cumin seeds,(jeera),paneer bhurji ,teaspoon
9,['1.5'],"oil,","ghee, butter or white butter",paneer bhurji ,tablespoons
10,,salt,as required,paneer bhurji ,
11,,a few coriander leaves,"(dhania patta) for garnishing, optional",paneer bhurji ,
0,['400 to 450'],cauliflower,"or 1 medium sized cauliflower (gobi), florets removed and rinsed",aloo gobi ,grams
1,['300 to 350'],potatoes,"or 5 to 6 medium size potatoes (aloo), sliced in wedges",aloo gobi ,grams
2,['1.5 to 2'],ginger,"(adrak), chopped or 4 teaspoon chopped ginger",aloo gobi ,inches
3,['½'],turmeric powder,(haldi),aloo gobi ,teaspoon
4,['1'],kashmiri red chili powder,(lal mirch powder or deghi mirch),aloo gobi ,teaspoon
5,['½'],garam masala powder,,aloo gobi ,teaspoon
6,,a few coriander leaves,or dhania patta for garnish - optional,aloo gobi ,
7,['4'],oil,or ghee,aloo gobi ,tablespoon
8,,salt as required,,aloo gobi ,
0,['1'],whole wheat flour,(atta) or 125 grams whole wheat flour,whole wheat nankhatai ,cup
1,['2'],besan,(gram flour),whole wheat nankhatai ,tablespoon
2,['¼'],baking soda,or ¼ teaspoon baking powder,whole wheat nankhatai ,teaspoon
3,['1'],salt,- do not add if using salted butter or ghee,whole wheat nankhatai ,pinch
4,['70'],cold salted or unsalted butter,- approx ½ cup butter or 70 grams ghee in semi solid state,whole wheat nankhatai ,grams
5,['⅓'],sugar,or 70 grams sugar or 70 grams powdered sugar or approx ½ cup powdered sugar,whole wheat nankhatai ,cup
6,['4 to 5'],green cardamoms,(choti elaichi) - crushed lightly to remove the cover and the seeds kept,whole wheat nankhatai ,
7,['1'],saffron strands,(kesar),whole wheat nankhatai ,pinch
8,['⅛'],grated nutmeg,or nutmeg powder (jaiphal powder),whole wheat nankhatai ,teaspoon
9,['1 to 2'],milk,,whole wheat nankhatai ,tablespoon
10,['1 to 2'],butter,or ghee for greasing baking tray,whole wheat nankhatai ,teaspoon
0,['25-28'],dried apricots,(khubani),"Khubani Ka Meetha Recipe, Hyderabadi Sweet Dish | Hyderabadi Recipes",
1,['1 to 1.5'],strained water from the soaked apricots,,"Khubani Ka Meetha Recipe, Hyderabadi Sweet Dish | Hyderabadi Recipes",cup
2,,sugar as required,(optional),"Khubani Ka Meetha Recipe, Hyderabadi Sweet Dish | Hyderabadi Recipes",
3,,sliced almonds,(badam) - optional,"Khubani Ka Meetha Recipe, Hyderabadi Sweet Dish | Hyderabadi Recipes",
0,['1'],dried chickpeas,OR 3 cups cooked or canned chickpeas,samosa chaat ,cup
1,['3'],oil,,samosa chaat ,tablespoons
2,['½'],carom seeds,(ajwain),samosa chaat ,teaspoon
3,['⅔'],finely chopped onions,"OR 2 medium sized onions, chopped OR 100 grams onions, chopped",samosa chaat ,cup
